NTF_Links,Price
https://lh3.googleusercontent.com/BEc49fY7VSWQJocAVQfvd0alL5K5V8CzCb-fHv6yIsRO1IIfEpvWvzb2aWWZxVm3_k0-HqAW_zM6D-lBuWmSX5oBIofbWP0hdYV7BMg=w600,($32.41)
https://lh3.googleusercontent.com/Xi6dW5hAnwahQASbOONuAJz0Q031Yg2kmjFzF6nLAMMapGi5A-NfaqH0SYC9ea61C1MzHQm-Tg0jdhNrNvBVXychpjeOSah6dml-2Q=w600,($162.03)
https://lh3.googleusercontent.com/OoDm7aiTFRjzedpTxSDnyDGk8E0f9QtZFz0Zkwx3aXD-_4ZKj1VXq_iauGVEtDi37cK7lvtCpADzJzl-l1abt6ueA-PdxYXBJfbE=w600,($129.62)
https://lh3.googleusercontent.com/A9mtSgV1b-m9ZpK32PT2trAZw5ZxLv5Y8g_PkrM2fi2JhCeU7QLGdttZQT5oMV5H3gPcnmJ3lIYVXjbN-AyQwrNnbzms-Uwhb24w8Q=w600,($126.38)
https://lh3.googleusercontent.com/AeIKXofl2bhFUXI5x2VlwtpWfnA_Di2WjtN8pgDNiCIMD7vTsjSeFmPE2jsrrKy0gI4eQ0E1rdRtalkJVgNF5Ij8EoFY_mPJeLQz4A=w600,($129.62)
https://lh3.googleusercontent.com/1JjeT_oGAo9GOeg7w_k5-rGmfcuSl3P3M6Hs-lY-HJPzS-5oX5h9EUixVwTk8fSYXDgGaRbVoeNyDZYjdlYc1XEwWWZK1zgyNKbsZQI=w600,($129.62)
https://lh3.googleusercontent.com/LgZEGgpvQUzcywcMJEq8-yNzvfBGu8uaKG8yy146ZxKeTc_a0Gxqfj4nDEbe3oQIe8NoYuQlo4K4Jgs-VQO5uaY0bhVE4-cDGP7v=w600,($259.24)
https://lh3.googleusercontent.com/gK4v2lJVS2S4HQrwn-Xpsgxc838GH_m2Alr6oIHjdXJoBjHCyLZu5-fPzgfeohV5JeucE6yUkocW6f89wGbnw3lt_RjyGMMdRa5fSe8=w600,($61.57)
https://lh3.googleusercontent.com/EQEMdvCdG-KAYiN5j2vKLtIC7UI22MMCEQJ2_b4xhnXCNogFZmUesgmgbt-62VCH-LOyOCy_OO_dU6Rbq603-gToLzknIczP0E3CmmE=w600,($61.57)
https://lh3.googleusercontent.com/cACZmpqN2B8dp1SyKFl4qrQ-FRh4VHXYDMQwqxWR23wLYAmoDwqbwz_beoPcfvrzl7BuI_-oAU7i1Uixa1Io2xCmNotqABgjQOXaGA=w600,($61.57)
